Model,Balanced Accuracy,Precision,Recall,F1,ROC AUC
LightGBM,0.875584842315797,0.8766651013116836,0.8755458515283843,0.875887107848053,
XGBoost,0.8395406978820672,0.8385200610510078,0.8395196506550219,0.8389257198429809,
Random Forest,0.8363084395871282,0.8356146473777352,0.8362445414847162,0.8355050956463087,
SVM,0.8067752419729276,0.8038095269506634,0.8067685589519651,0.8038390512661606,
Logistic Regression,0.7325190185363764,0.7233375787776731,0.732532751091703,0.7223447677626568,
CatBoost,0.7085217329190329,0.7054381783038995,0.7085152838427947,0.7060875497592608,
KNN,0.6198757098467802,0.6665245993801148,0.6200873362445415,0.5254379067447472,
