Sample,Unique_CDR3_Count
matched_SRR18720020.dedup,11905
matched_SRR18719365.dedup,12260
matched_SRR18720105.dedup,8189
matched_SRR18719401.dedup,20341
matched_SRR18719841.dedup,13988
matched_SRR18720272.dedup,11236
matched_SRR18719412.dedup,8953
matched_SRR18719880.dedup,11432
matched_SRR18719572.dedup,10489
matched_SRR18720209.dedup,13471
matched_SRR18719649.dedup,7607
matched_SRR18720371.dedup,8438
matched_SRR18719591.dedup,11171
matched_SRR18720318.dedup,11835
matched_SRR18720115.dedup,14297
matched_SRR18719873.dedup,16231
matched_SRR18719511.dedup,11698
matched_SRR18719435.dedup,16907
matched_SRR18719871.dedup,8459
matched_SRR18719864.dedup,10703
matched_SRR18719618.dedup,10681
matched_SRR18719514.dedup,12215
matched_SRR18719458.dedup,12878
matched_SRR18719667.dedup,13733
matched_SRR18719735.dedup,13880
matched_SRR18719673.dedup,10253
matched_SRR18719782.dedup,10408
matched_SRR18720295.dedup,11858
matched_SRR18720084.dedup,11254
matched_SRR18719793.dedup,14804
matched_SRR18719487.dedup,11709
matched_SRR18719513.dedup,10047
matched_SRR18719617.dedup,12137
matched_SRR18719519.dedup,11773
matched_SRR18720137.dedup,15467
matched_SRR18719532.dedup,12003
matched_SRR18720238.dedup,10575
matched_SRR18719576.dedup,24230
matched_SRR18719466.dedup,4625
matched_SRR18719984.dedup,10578
matched_SRR18719818.dedup,11180
matched_SRR18719652.dedup,14863
matched_SRR18719693.dedup,13926
matched_SRR18720175.dedup,14576
matched_SRR18720190.dedup,11742
matched_SRR18719447.dedup,13701
matched_SRR18719679.dedup,14635
matched_SRR18719738.dedup,10485
matched_SRR18719613.dedup,14553
matched_SRR18720074.dedup,13152
matched_SRR18720186.dedup,14220
matched_SRR18719990.dedup,13591
matched_SRR18719518.dedup,13533
matched_SRR18720099.dedup,10129
matched_SRR18719441.dedup,11259
matched_SRR18719479.dedup,14697
matched_SRR18719668.dedup,10821
matched_SRR18720088.dedup,11933
matched_SRR18719810.dedup,14286
matched_SRR18719952.dedup,12991
matched_SRR18720211.dedup,9400
matched_SRR18720381.dedup,13979
matched_SRR18720181.dedup,10653
matched_SRR18720359.dedup,11830
matched_SRR18720267.dedup,11384
matched_SRR18719601.dedup,21682
matched_SRR18720218.dedup,11078
matched_SRR18720117.dedup,9374
matched_SRR18720040.dedup,9927
matched_SRR18719494.dedup,13002
matched_SRR18719580.dedup,13145
matched_SRR18719660.dedup,13577
matched_SRR18719501.dedup,10356
matched_SRR18720243.dedup,11941
matched_SRR18719917.dedup,12285
matched_SRR18720036.dedup,9710
matched_SRR18720316.dedup,12523
matched_SRR18719954.dedup,12274
matched_SRR18719546.dedup,16362
matched_SRR18720122.dedup,11296
matched_SRR18720081.dedup,14399
matched_SRR18720037.dedup,12783
matched_SRR18719560.dedup,12761
matched_SRR18719729.dedup,10919
matched_SRR18719983.dedup,12798
matched_SRR18720147.dedup,14163
matched_SRR18719681.dedup,14624
matched_SRR18719582.dedup,10704
matched_SRR18719459.dedup,13562
matched_SRR18720016.dedup,10776
matched_SRR18719867.dedup,28397
matched_SRR18719507.dedup,12301
matched_SRR18719657.dedup,10655
matched_SRR18719901.dedup,9105
matched_SRR18719802.dedup,13456
matched_SRR18720348.dedup,11583
matched_SRR18720362.dedup,13139
matched_SRR18720123.dedup,13032
matched_SRR18720235.dedup,12379
matched_SRR18720330.dedup,13762
matched_SRR18720354.dedup,11935
matched_SRR18719526.dedup,13482
matched_SRR18719562.dedup,11085
matched_SRR18719784.dedup,15024
matched_SRR18719751.dedup,15138
matched_SRR18720069.dedup,12976
matched_SRR18720077.dedup,9743
matched_SRR18720021.dedup,11632
matched_SRR18719462.dedup,18070
matched_SRR18719869.dedup,15924
matched_SRR18720046.dedup,16877
matched_SRR18720382.dedup,11625
matched_SRR18720380.dedup,11874
matched_SRR18720169.dedup,13482
matched_SRR18720314.dedup,10492
matched_SRR18720078.dedup,13203
matched_SRR18719444.dedup,12598
matched_SRR18719776.dedup,11176
matched_SRR18719902.dedup,12913
matched_SRR18720128.dedup,9954
matched_SRR18720189.dedup,12482
matched_SRR18719506.dedup,12649
matched_SRR18719508.dedup,11638
matched_SRR18720336.dedup,12430
matched_SRR18719887.dedup,15368
matched_SRR18719398.dedup,10922
matched_SRR18719665.dedup,13623
matched_SRR18719972.dedup,13048
matched_SRR18719790.dedup,9912
matched_SRR18719875.dedup,9015
matched_SRR18720029.dedup,12152
matched_SRR18720367.dedup,12346
matched_SRR18719877.dedup,9973
matched_SRR18719883.dedup,15174
matched_SRR18719825.dedup,15678
matched_SRR18719861.dedup,10079
matched_SRR18719862.dedup,16115
matched_SRR18719691.dedup,11813
matched_SRR18720055.dedup,12284
matched_SRR18719451.dedup,13057
matched_SRR18719581.dedup,8578
matched_SRR18719405.dedup,11444
matched_SRR18719654.dedup,13944
matched_SRR18720312.dedup,14321
matched_SRR18720071.dedup,11677
matched_SRR18720389.dedup,11103
