Sample,Unique_CDR3_Count
SRR18509113.unmapped.longest_only,2245
SRR18509607.unmapped.longest_only,3497
SRR18510657.unmapped.longest_only,2934
SRR18510387.unmapped.longest_only,2427
SRR18509798.unmapped.longest_only,1025
SRR18509536.unmapped.longest_only,1509
SRR18510220.unmapped.longest_only,1591
SRR18510984.unmapped.longest_only,923
SRR18511310.unmapped.longest_only,3307
SRR18509874.unmapped.longest_only,1920
SRR18511064.unmapped.longest_only,14541
SRR18509286.unmapped.longest_only,778
SRR18510051.unmapped.longest_only,922
SRR18511197.unmapped.longest_only,1770
SRR18510209.unmapped.longest_only,1379
SRR18509277.unmapped.longest_only,1004
SRR18509761.unmapped.longest_only,1453
SRR18510551.unmapped.longest_only,1384
SRR18510591.unmapped.longest_only,933
SRR18509586.unmapped.longest_only,11185
SRR18509918.unmapped.longest_only,3242
SRR18511087.unmapped.longest_only,1485
SRR18511156.unmapped.longest_only,3907
SRR18510536.unmapped.longest_only,1536
SRR18511116.unmapped.longest_only,930
SRR18510196.unmapped.longest_only,1129
SRR18509325.unmapped.longest_only,934
SRR18511446.unmapped.longest_only,2109
SRR18509612.unmapped.longest_only,1261
SRR18509206.unmapped.longest_only,1250
SRR18509314.unmapped.longest_only,681
SRR18510313.unmapped.longest_only,1792
SRR18510381.unmapped.longest_only,2062
SRR18509347.unmapped.longest_only,2499
SRR18510602.unmapped.longest_only,1006
SRR18510772.unmapped.longest_only,1119
SRR18509479.unmapped.longest_only,601
SRR18509793.unmapped.longest_only,1557
SRR18510723.unmapped.longest_only,1983
SRR18511058.unmapped.longest_only,1535
SRR18509976.unmapped.longest_only,670
SRR18510130.unmapped.longest_only,865
SRR18510454.unmapped.longest_only,944
SRR18509233.unmapped.longest_only,2747
SRR18509045.unmapped.longest_only,1335
SRR18510859.unmapped.longest_only,1514
SRR18510778.unmapped.longest_only,3191
SRR18511379.unmapped.longest_only,1840
SRR18509394.unmapped.longest_only,836
SRR18509803.unmapped.longest_only,1693
SRR18509476.unmapped.longest_only,1330
SRR18511450.unmapped.longest_only,998
SRR18511455.unmapped.longest_only,1784
SRR18510018.unmapped.longest_only,1207
SRR18510170.unmapped.longest_only,1048
SRR18510355.unmapped.longest_only,2867
SRR18511069.unmapped.longest_only,16979
SRR18510155.unmapped.longest_only,2602
SRR18509226.unmapped.longest_only,1632
SRR18509318.unmapped.longest_only,1410
SRR18510897.unmapped.longest_only,3565
SRR18509733.unmapped.longest_only,1378
SRR18510164.unmapped.longest_only,1102
SRR18509789.unmapped.longest_only,857
SRR18510873.unmapped.longest_only,1087
SRR18510251.unmapped.longest_only,1646
SRR18509715.unmapped.longest_only,1361
SRR18511229.unmapped.longest_only,1438
SRR18511226.unmapped.longest_only,1118
SRR18509444.unmapped.longest_only,1226
SRR18510620.unmapped.longest_only,3491
SRR18510390.unmapped.longest_only,671
SRR18511190.unmapped.longest_only,2163
SRR18509520.unmapped.longest_only,1520
SRR18511393.unmapped.longest_only,6385
SRR18510499.unmapped.longest_only,1358
SRR18509749.unmapped.longest_only,1767
SRR18510224.unmapped.longest_only,1920
SRR18510471.unmapped.longest_only,542
SRR18510543.unmapped.longest_only,1698
SRR18510791.unmapped.longest_only,1187
SRR18509098.unmapped.longest_only,1232
SRR18510133.unmapped.longest_only,2281
SRR18509951.unmapped.longest_only,2763
SRR18511193.unmapped.longest_only,3019
SRR18511141.unmapped.longest_only,1079
SRR18509757.unmapped.longest_only,1053
SRR18511244.unmapped.longest_only,910
SRR18509983.unmapped.longest_only,859
SRR18509750.unmapped.longest_only,607
SRR18510173.unmapped.longest_only,1091
SRR18510348.unmapped.longest_only,1202
SRR18510827.unmapped.longest_only,2193
SRR18510698.unmapped.longest_only,1748
SRR18509546.unmapped.longest_only,1062
SRR18510053.unmapped.longest_only,1879
SRR18511486.unmapped.longest_only,1073
SRR18511464.unmapped.longest_only,939
SRR18510431.unmapped.longest_only,2513
SRR18510961.unmapped.longest_only,905
SRR18510364.unmapped.longest_only,1564
SRR18510959.unmapped.longest_only,3702
SRR18510145.unmapped.longest_only,1079
SRR18510724.unmapped.longest_only,1852
SRR18511322.unmapped.longest_only,957
SRR18509762.unmapped.longest_only,1447
SRR18510607.unmapped.longest_only,831
SRR18509331.unmapped.longest_only,899
SRR18510468.unmapped.longest_only,3045
SRR18509104.unmapped.longest_only,1164
SRR18511343.unmapped.longest_only,921
SRR18510351.unmapped.longest_only,1762
SRR18511411.unmapped.longest_only,1495
SRR18509770.unmapped.longest_only,2753
SRR18510335.unmapped.longest_only,2558
SRR18510116.unmapped.longest_only,1358
SRR18510578.unmapped.longest_only,834
SRR18509333.unmapped.longest_only,889
SRR18509907.unmapped.longest_only,926
SRR18509816.unmapped.longest_only,1224
SRR18511173.unmapped.longest_only,947
SRR18511077.unmapped.longest_only,3543
SRR18509237.unmapped.longest_only,1597
SRR18510783.unmapped.longest_only,2318
SRR18511119.unmapped.longest_only,954
SRR18509627.unmapped.longest_only,1278
SRR18509786.unmapped.longest_only,1296
SRR18511466.unmapped.longest_only,1847
SRR18510987.unmapped.longest_only,1317
SRR18509335.unmapped.longest_only,2923
SRR18510200.unmapped.longest_only,1637
SRR18510765.unmapped.longest_only,3802
SRR18510693.unmapped.longest_only,1036
SRR18510701.unmapped.longest_only,694
SRR18509850.unmapped.longest_only,2575
SRR18510000.unmapped.longest_only,896
SRR18509741.unmapped.longest_only,978
SRR18510412.unmapped.longest_only,1687
SRR18509617.unmapped.longest_only,1375
SRR18510928.unmapped.longest_only,1586
SRR18509403.unmapped.longest_only,1728
SRR18511151.unmapped.longest_only,1468
SRR18510777.unmapped.longest_only,2998
SRR18510123.unmapped.longest_only,1046
SRR18511498.unmapped.longest_only,1459
SRR18509592.unmapped.longest_only,1204
SRR18511274.unmapped.longest_only,800
SRR18509955.unmapped.longest_only,2552
SRR18509133.unmapped.longest_only,2157
SRR18509905.unmapped.longest_only,2343
SRR18509243.unmapped.longest_only,7029
SRR18510014.unmapped.longest_only,783
SRR18510297.unmapped.longest_only,1666
SRR18509064.unmapped.longest_only,1345
SRR18509945.unmapped.longest_only,1004
SRR18510732.unmapped.longest_only,1703
SRR18509705.unmapped.longest_only,3629
SRR18509635.unmapped.longest_only,2905
SRR18510752.unmapped.longest_only,1300
SRR18509120.unmapped.longest_only,873
SRR18511467.unmapped.longest_only,3370
SRR18511376.unmapped.longest_only,3907
SRR18510103.unmapped.longest_only,2799
SRR18511295.unmapped.longest_only,1630
SRR18509569.unmapped.longest_only,1837
SRR18510465.unmapped.longest_only,1019
SRR18509269.unmapped.longest_only,769
SRR18510572.unmapped.longest_only,1437
SRR18510920.unmapped.longest_only,1179
SRR18510866.unmapped.longest_only,1440
SRR18510267.unmapped.longest_only,831
SRR18510095.unmapped.longest_only,870
SRR18509438.unmapped.longest_only,1614
SRR18510299.unmapped.longest_only,2068
SRR18510073.unmapped.longest_only,1284
SRR18510326.unmapped.longest_only,1184
SRR18510836.unmapped.longest_only,946
SRR18511469.unmapped.longest_only,4840
SRR18510573.unmapped.longest_only,1613
SRR18509313.unmapped.longest_only,886
SRR18511046.unmapped.longest_only,2069
SRR18510813.unmapped.longest_only,3785
SRR18509611.unmapped.longest_only,1998
SRR18509410.unmapped.longest_only,1218
SRR18509521.unmapped.longest_only,1485
SRR18511218.unmapped.longest_only,1952
SRR18509652.unmapped.longest_only,756
SRR18510400.unmapped.longest_only,4143
SRR18509421.unmapped.longest_only,623
SRR18510522.unmapped.longest_only,1607
SRR18509054.unmapped.longest_only,2035
SRR18510102.unmapped.longest_only,1515
SRR18509320.unmapped.longest_only,1356
SRR18509961.unmapped.longest_only,3692
SRR18511476.unmapped.longest_only,4948
SRR18511421.unmapped.longest_only,952
SRR18509681.unmapped.longest_only,957
SRR18509811.unmapped.longest_only,922
SRR18510831.unmapped.longest_only,872
SRR18509805.unmapped.longest_only,781
SRR18510705.unmapped.longest_only,1026
SRR18511076.unmapped.longest_only,1203
SRR18510981.unmapped.longest_only,1861
SRR18511298.unmapped.longest_only,1300
SRR18510093.unmapped.longest_only,2111
SRR18509935.unmapped.longest_only,820
SRR18510694.unmapped.longest_only,1529
SRR18510259.unmapped.longest_only,919
SRR18509247.unmapped.longest_only,1389
SRR18511079.unmapped.longest_only,1026
SRR18509178.unmapped.longest_only,1875
SRR18511413.unmapped.longest_only,1700
SRR18511431.unmapped.longest_only,601
SRR18511071.unmapped.longest_only,1185
SRR18510420.unmapped.longest_only,2171
SRR18509240.unmapped.longest_only,1758
SRR18510238.unmapped.longest_only,1225
SRR18511423.unmapped.longest_only,1387
SRR18509130.unmapped.longest_only,1431
SRR18511315.unmapped.longest_only,1386
SRR18511289.unmapped.longest_only,1213
SRR18509638.unmapped.longest_only,2462
SRR18509324.unmapped.longest_only,905
SRR18511318.unmapped.longest_only,1713
SRR18510990.unmapped.longest_only,906
SRR18511320.unmapped.longest_only,1887
SRR18510574.unmapped.longest_only,1076
SRR18509943.unmapped.longest_only,882
SRR18510995.unmapped.longest_only,1029
SRR18509399.unmapped.longest_only,2949
SRR18511164.unmapped.longest_only,1145
SRR18510158.unmapped.longest_only,2746
SRR18510759.unmapped.longest_only,1966
SRR18509553.unmapped.longest_only,1638
SRR18509170.unmapped.longest_only,1192
SRR18509626.unmapped.longest_only,1275
SRR18510336.unmapped.longest_only,871
SRR18510432.unmapped.longest_only,2058
SRR18511186.unmapped.longest_only,1076
SRR18511025.unmapped.longest_only,6438
SRR18509084.unmapped.longest_only,2455
SRR18509584.unmapped.longest_only,2682
SRR18510082.unmapped.longest_only,2732
SRR18511012.unmapped.longest_only,867
SRR18509591.unmapped.longest_only,2713
SRR18510065.unmapped.longest_only,1310
SRR18511148.unmapped.longest_only,926
SRR18509799.unmapped.longest_only,1662
SRR18509341.unmapped.longest_only,1595
SRR18511010.unmapped.longest_only,2576
SRR18509500.unmapped.longest_only,1213
SRR18510858.unmapped.longest_only,2100
SRR18509386.unmapped.longest_only,1048
SRR18510270.unmapped.longest_only,742
SRR18509137.unmapped.longest_only,1783
SRR18511329.unmapped.longest_only,958
SRR18510991.unmapped.longest_only,1271
SRR18510619.unmapped.longest_only,1177
SRR18510869.unmapped.longest_only,2611
SRR18510814.unmapped.longest_only,1503
SRR18510083.unmapped.longest_only,2821
SRR18510246.unmapped.longest_only,1007
SRR18510618.unmapped.longest_only,1186
SRR18509986.unmapped.longest_only,617
SRR18509659.unmapped.longest_only,1210
SRR18510294.unmapped.longest_only,1576
SRR18510131.unmapped.longest_only,1501
SRR18509428.unmapped.longest_only,1288
