Model,Balanced Accuracy,Precision,Recall,F1,ROC AUC
LightGBM,0.7810991690302035,0.7780053921551122,0.7809798270893372,0.7785797493811959,
XGBoost,0.7652199333233817,0.7621321246534183,0.7651296829971181,0.7626380581858877,
SVM,0.7493966761208141,0.7460323352409036,0.7492795389048992,0.7457649251439521,
Random Forest,0.7190998656515898,0.714467694106837,0.7190201729106628,0.715678815906936,
Logistic Regression,0.7032766084490222,0.6984568108999035,0.7031700288184438,0.6980457019372703,
CatBoost,0.6874657909140668,0.6838681596747247,0.6873198847262247,0.6827352940833679,
KNN,0.541871921182266,0.5803903756716319,0.5417867435158501,0.4943462348406073,
